Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
852,Ducula myristicivora,Columbidae,Columbiformes,AVIBASE-83E8AEB2,4,4,0,0,4,29.7,17.0,9.0,7.1,34.1,250.8,81.5,169.2,32.5,136.5,535.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-2.06,0.04,-0.90,130.60,7545.93
845,Ducula neglecta,Columbidae,Columbiformes,AVIBASE-E80F617D,4,2,1,1,4,30.5,15.5,8.0,6.8,37.4,254.0,82.8,171.2,32.6,150.8,667.0,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-3.88,-2.78,-3.22,129.38,18494.39
856,Ducula obiensis,Columbidae,Columbiformes,AVIBASE-AAC23740,4,2,2,0,4,28.7,17.4,7.8,7.3,31.0,213.4,64.7,148.7,30.3,130.7,507.2,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.74,-1.33,-1.57,127.73,2546.22
848,Ducula oceanica,Columbidae,Columbiformes,AVIBASE-069F34CF,4,0,0,4,4,24.5,13.6,6.2,6.3,31.3,214.8,58.0,156.8,27.0,145.2,371.5,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.56,9.64,6.48,150.81,1327.13
843,Ducula oenothorax,Columbidae,Columbiformes,AVIBASE-16485EEB,2,2,0,0,2,26.6,16.1,9.1,7.2,33.6,238.3,68.0,170.4,28.5,123.1,545.0,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.52,-5.29,-5.40,102.26,400.06
847,Ducula pacifica,Columbidae,Columbiformes,AVIBASE-2081777C,5,2,3,0,4,27.9,16.3,7.4,7.6,36.7,244.4,79.8,166.5,32.5,160.2,394.2,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-22.71,-0.88,-16.84,106.36,29576.66
844,Ducula perspicillata,Columbidae,Columbiformes,AVIBASE-1F49D2C5,4,2,2,0,4,31.5,16.6,8.3,7.4,32.8,251.8,83.0,168.8,33.0,159.5,667.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-3.84,2.65,-0.40,127.65,34605.55
862,Ducula pickeringii,Columbidae,Columbiformes,AVIBASE-9EC10FC3,5,1,0,4,4,25.9,14.2,6.9,6.6,31.4,232.0,73.0,158.8,31.5,152.2,377.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,2,2,Herbivore,Frugivore,Insessorial,2.12,9.67,5.40,122.20,3060.90
867,Ducula pinon,Columbidae,Columbiformes,AVIBASE-26098F7A,7,3,4,0,6,36.1,21.4,9.1,8.0,34.6,259.4,77.6,180.9,30.0,141.6,756.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.72,0.04,-5.35,140.99,635132.32
859,Ducula pistrinaria,Columbidae,Columbiformes,AVIBASE-FF2005EB,5,3,2,0,4,30.1,16.5,8.4,6.8,32.1,239.8,71.0,171.0,29.3,145.4,515.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.91,-1.32,-6.30,153.89,85422.33
837,Ducula poliocephala,Columbidae,Columbiformes,AVIBASE-31042F32,5,2,3,0,4,29.3,13.5,6.4,6.0,30.0,212.0,63.4,149.9,29.8,149.8,555.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,5.05,18.65,11.87,123.09,266333.85
840,Ducula radiata,Columbidae,Columbiformes,AVIBASE-C7729D54,5,1,1,3,4,23.7,12.1,5.7,4.9,26.2,204.2,66.2,137.2,32.6,137.0,295.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.58,1.76,-1.90,121.16,154747.93
860,Ducula rosacea,Columbidae,Columbiformes,AVIBASE-EED4B6F5,4,2,2,0,4,27.5,14.7,6.3,5.9,33.8,229.0,74.8,154.2,32.6,141.5,385.6,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-11.00,2.29,-8.46,124.60,61035.43
851,Ducula rubricera,Columbidae,Columbiformes,AVIBASE-D03EA6BA,5,2,3,0,4,30.6,18.2,8.1,7.0,34.1,238.8,79.0,160.0,33.0,128.6,652.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.91,-2.34,-6.31,153.92,72417.84
854,Ducula rufigaster,Columbidae,Columbiformes,AVIBASE-18C4B783,8,2,6,0,8,27.8,13.4,6.3,5.9,31.0,196.6,54.3,142.4,27.6,109.0,436.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.73,0.04,-5.32,140.93,670937.24
868,Ducula salvadorii,Columbidae,Columbiformes,AVIBASE-32DCE1CF,4,2,2,0,4,29.4,19.0,8.1,7.2,32.0,248.9,77.8,171.2,31.2,135.3,756.0,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-11.66,-9.20,-10.21,151.70,3359.37
877,Ducula spilorrhoa,Columbidae,Columbiformes,AVIBASE-A251CB8F,4,2,2,0,4,27.4,14.5,7.0,6.8,32.1,241.2,79.7,161.6,33.0,141.5,464.0,Updated_literature,BoW,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-21.96,-0.63,-11.43,139.12,518577.49
878,Ducula subflavescens,Columbidae,Columbiformes,AVIBASE-E3B13C16,4,1,1,2,4,32.5,16.6,7.1,5.9,32.9,235.0,91.3,143.7,38.9,117.5,440.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-6.31,-1.96,-5.01,150.62,47143.93
861,Ducula whartoni,Columbidae,Columbiformes,AVIBASE-DDC4CBBB,5,1,4,0,4,28.2,14.6,6.6,6.0,35.3,251.0,72.2,179.2,28.8,170.6,571.2,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.58,-10.42,-10.49,105.64,137.18
871,Ducula zoeae,Columbidae,Columbiformes,AVIBASE-7656697A,5,2,3,0,4,31.0,14.8,6.0,6.1,32.0,219.8,56.9,162.3,26.0,127.8,568.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.72,-0.34,-5.37,140.95,706706.05
740,Gallicolumba crinigera,Columbidae,Columbiformes,AVIBASE-F868CF77,4,2,2,0,4,20.3,10.3,3.1,4.5,36.1,150.2,43.0,107.2,28.6,97.2,192.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,5.56,12.59,8.25,124.83,94066.40
742,Gallicolumba keayi,Columbidae,Columbiformes,AVIBASE-A5C58F88,2,1,1,0,2,21.9,9.2,3.4,4.8,35.0,139.2,45.6,93.6,32.8,77.7,190.5,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,9.04,11.94,10.58,122.74,24352.06
739,Gallicolumba luzonica,Columbidae,Columbiformes,AVIBASE-804BBC8C,8,4,3,1,8,20.7,8.8,2.9,4.2,32.5,142.7,39.0,103.6,27.4,80.7,196.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,12.54,18.65,15.91,121.47,107374.52
743,Gallicolumba menagei,Columbidae,Columbiformes,AVIBASE-521FCF00,2,0,1,1,2,23.4,10.4,3.5,5.2,34.6,158.5,47.9,110.7,30.2,97.5,196.0,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,5.05,5.35,5.20,120.05,585.50
741,Gallicolumba platenae,Columbidae,Columbiformes,AVIBASE-6505921E,6,1,3,2,6,19.9,9.8,4.2,5.3,35.0,153.1,42.2,110.8,27.6,98.4,196.0,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,12.66,13.49,13.21,121.13,475.23
745,Gallicolumba rufigula,Columbidae,Columbiformes,AVIBASE-B4901E1B,5,2,3,0,4,18.8,8.4,2.6,3.7,31.3,129.8,36.8,92.5,28.4,75.2,130.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-10.73,-0.01,-5.33,140.81,731477.39
744,Gallicolumba tristigmata,Columbidae,Columbiformes,AVIBASE-F991F61F,4,3,1,0,3,22.6,9.7,4.7,4.9,43.0,159.3,41.2,118.1,25.8,108.0,275.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-5.71,1.76,-2.09,121.15,171123.30
769,Geopelia cuneata,Columbidae,Columbiformes,AVIBASE-4A80DFC5,5,2,3,0,4,12.8,6.3,2.2,2.4,13.8,89.2,31.8,57.5,35.6,100.4,31.6,Dunning,NA,NO,NA,NA,Grassland,2,1,Herbivore,Granivore,Terrestrial,-36.58,-10.69,-23.58,135.10,5703540.33
773,Geopelia humeralis,Columbidae,Columbiformes,AVIBASE-A39F91F0,5,2,3,0,4,19.3,10.0,3.4,3.6,22.6,138.2,41.5,96.0,30.2,134.0,128.4,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial,-36.44,-6.44,-21.08,140.40,2758465.78
772,Geopelia maugeus,Columbidae,Columbiformes,AVIBASE-745E4C3D,5,3,2,0,5,15.0,7.9,2.7,2.9,18.5,100.4,30.8,69.6,30.7,102.2,56.6,Inferred,NA,YES,Body Mass,Geopelia striata,Woodland,2,1,Herbivore,Granivore,Terrestrial,-10.94,-5.27,-8.87,122.95,85270.16
771,Geopelia placida,Columbidae,Columbiformes,AVIBASE-8DF7FC3F,6,2,4,0,5,13.6,7.4,2.4,2.8,15.2,99.0,32.8,66.0,33.2,89.7,47.8,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial,-39.24,-4.45,-24.38,137.77,5572643.25
770,Geopelia striata,Columbidae,Columbiformes,AVIBASE-91C3A5E9,5,2,3,0,4,17.2,7.6,2.5,2.9,15.5,97.0,27.1,70.6,27.7,95.0,56.6,Dunning,NA,NO,NA,NA,Woodland,2,1,Herbivore,Granivore,Terrestrial,-8.96,18.65,2.77,107.92,1047872.82
762,Geophaps plumifera,Columbidae,Columbiformes,AVIBASE-FFEE836B,9,4,5,0,8,16.8,10.5,4.5,5.7,20.4,106.7,30.9,75.1,29.2,68.1,94.3,Dunning,NA,NO,NA,NA,Grassland,3,2,Herbivore,Granivore,Terrestrial,-28.15,-13.85,-21.83,130.75,1860384.76
763,Geophaps scripta,Columbidae,Columbiformes,AVIBASE-AD62DDA5,5,2,2,1,4,19.8,9.7,4.5,5.1,28.8,140.6,37.6,101.7,27.0,105.8,221.4,Dunning,NA,NO,NA,NA,Woodland,2,2,Herbivore,Granivore,Terrestrial,-29.13,-13.64,-22.25,146.85,953627.90
764,Geophaps smithii,Columbidae,Columbiformes,AVIBASE-888803D1,5,2,3,0,4,20.2,11.1,5.2,6.1,29.6,132.8,31.7,99.1,24.3,81.4,194.0,Dunning,NA,NO,NA,NA,Forest,1,2,Herbivore,Granivore,Terrestrial,-16.14,-11.09,-13.23,130.59,47102.86
686,Geotrygon caniceps,Columbidae,Columbiformes,AVIBASE-947E8D75,5,1,2,2,5,21.4,7.9,3.0,4.6,35.2,148.6,43.8,104.8,29.5,89.4,192.0,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,19.83,23.01,21.00,-77.56,23265.89
690,Geotrygon chrysia,Columbidae,Columbiformes,AVIBASE-913CBCDF,4,2,2,0,4,23.9,9.2,3.0,4.2,30.2,152.8,49.4,103.4,32.3,92.0,169.0,Dunning,NA,NO,NA,NA,Woodland,1,1,Herbivore,Omnivore,Terrestrial,17.54,26.93,20.67,-75.55,207769.78
687,Geotrygon leucometopia,Columbidae,Columbiformes,AVIBASE-6200936B,4,1,3,0,4,20.2,7.7,2.8,3.9,34.3,151.5,48.6,102.9,32.0,81.0,192.0,DataFromSplit,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,18.02,19.31,18.87,-71.00,4828.19
688,Geotrygon montana,Columbidae,Columbiformes,AVIBASE-4817EC01,37,11,23,3,12,19.5,9.0,3.5,4.4,26.9,136.5,36.7,99.2,27.1,76.3,133.9,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-32.04,24.36,-5.71,-59.94,13251114.74
691,Geotrygon mystacea,Columbidae,Columbiformes,AVIBASE-CA7BC4DA,4,1,2,1,4,26.6,9.9,3.2,5.1,34.1,162.0,46.6,115.4,28.8,88.2,211.0,Dunning,NA,NO,NA,NA,Woodland,1,1,Omnivore,Omnivore,Terrestrial,13.70,18.52,17.30,-64.67,13979.55
683,Geotrygon purpurata,Columbidae,Columbiformes,AVIBASE-B18C3C10,4,2,2,0,4,20.6,10.1,3.2,4.2,35.7,134.2,35.2,99.0,26.3,65.0,129.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,-0.13,5.76,2.23,-77.89,57184.69
684,Geotrygon saphirina,Columbidae,Columbiformes,AVIBASE-B6C1516E,6,1,3,2,6,19.4,8.7,3.4,3.8,35.3,136.3,39.8,96.5,29.2,63.1,203.0,Dunning,NA,NO,NA,NA,Forest,1,1,Omnivore,Omnivore,Terrestrial,-13.95,1.29,-3.56,-73.49,569182.48
685,Geotrygon versicolor,Columbidae,Columbiformes,AVIBASE-CA19EB97,4,0,2,2,4,24.7,9.9,3.8,5.0,35.6,155.8,45.6,110.2,29.3,88.2,225.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,17.70,18.53,18.16,-77.31,11021.79
689,Geotrygon violacea,Columbidae,Columbiformes,AVIBASE-39197875,9,2,5,2,6,19.6,8.0,2.5,4.2,26.4,143.4,47.8,95.7,33.3,86.7,95.2,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Terrestrial,-27.29,13.96,-14.52,-55.96,1490404.57
780,Goura cristata,Columbidae,Columbiformes,AVIBASE-556137A4,4,2,2,0,4,43.3,27.8,8.5,9.5,101.2,355.5,62.5,293.0,17.6,260.0,2000.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Terrestrial,-4.30,-0.01,-2.38,133.22,80538.98
782,Goura scheepmakeri,Columbidae,Columbiformes,AVIBASE-6551B257,4,2,2,0,4,46.9,29.2,8.1,8.8,89.8,354.5,60.8,293.8,17.1,266.8,2235.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Terrestrial,-10.50,-7.51,-9.39,147.87,15689.12
781,Goura sclaterii,Columbidae,Columbiformes,AVIBASE-9965E32D,4,2,2,0,4,50.0,27.9,8.5,9.6,93.5,359.0,68.8,290.2,19.1,263.9,2235.0,DataFromSplit,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Terrestrial,-9.07,-4.26,-6.47,141.04,192114.76
783,Goura victoria,Columbidae,Columbiformes,AVIBASE-EAA06956,4,2,2,0,4,45.9,28.7,8.1,9.0,90.2,350.5,66.2,284.2,18.9,258.2,2384.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Terrestrial,-9.82,-0.63,-3.28,140.72,116530.35
950,Gymnophaps albertisii,Columbidae,Columbiformes,AVIBASE-B7440FF2,4,2,2,0,4,23.1,10.7,4.8,5.7,24.6,200.2,75.0,125.2,37.5,148.2,259.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.77,-0.25,-4.89,141.62,535761.11
952,Gymnophaps mada,Columbidae,Columbiformes,AVIBASE-534A2A6A,4,2,2,0,4,26.6,11.7,5.1,5.4,27.0,216.5,71.0,145.5,32.8,164.5,334.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.84,-3.10,-3.47,126.56,6316.85
953,Gymnophaps solomonensis,Columbidae,Columbiformes,AVIBASE-42F486DA,2,1,1,0,2,25.1,12.2,6.2,6.8,28.3,215.0,74.0,141.1,34.5,159.5,335.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-9.87,-5.63,-7.86,157.91,6241.28
951,Gymnophaps stalkeri,Columbidae,Columbiformes,AVIBASE-8A28C238,1,0,1,0,1,25.9,11.6,7.1,4.5,25.8,202.0,67.2,134.8,33.3,146.0,334.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-3.88,-2.78,-3.20,129.46,17400.44
948,Hemiphaga chathamensis,Columbidae,Columbiformes,AVIBASE-1819B63F,4,0,1,3,4,33.1,15.5,8.0,9.1,38.8,272.0,83.9,188.1,30.8,195.5,789.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-44.36,-43.70,-43.94,-176.53,790.40
947,Hemiphaga novaeseelandiae,Columbidae,Columbiformes,AVIBASE-335C2C80,8,3,4,1,4,29.6,13.0,5.9,6.0,34.5,256.6,81.4,175.2,31.7,193.2,653.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-47.29,-34.39,-41.10,173.06,207708.89
737,Henicophaps albifrons,Columbidae,Columbiformes,AVIBASE-A91318C0,5,2,3,0,4,36.0,22.4,7.1,8.5,32.9,192.6,52.8,139.0,27.5,139.4,247.0,Dunning,NA,NO,NA,NA,Forest,3,1,Omnivore,Omnivore,Terrestrial,-10.73,0.04,-5.33,140.76,768903.29
738,Henicophaps foersteri,Columbidae,Columbiformes,AVIBASE-0165D38B,1,1,0,0,1,34.3,20.7,6.4,8.6,34.5,203.0,52.3,150.7,25.8,135.0,247.0,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,3,1,Omnivore,Omnivore,Terrestrial,-6.31,-4.14,-5.46,150.63,31332.27
699,Leptotila battyi,Columbidae,Columbiformes,AVIBASE-CC39ED20,1,1,0,0,1,19.5,9.8,2.5,3.3,30.0,135.0,39.0,96.0,28.9,91.0,160.6,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,7.22,7.79,7.49,-81.03,1791.99
695,Leptotila cassinii,Columbidae,Columbiformes,AVIBASE-34B0DFFA,13,5,6,2,6,17.9,8.8,3.4,3.9,29.9,132.3,31.8,100.8,24.0,86.1,159.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,5.54,17.68,11.76,-83.02,314249.82
696,Leptotila conoveri,Columbidae,Columbiformes,AVIBASE-52700241,2,1,1,0,2,20.6,9.1,2.8,3.5,31.6,136.0,32.0,103.9,23.6,90.8,153.5,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,1.81,4.93,3.51,-75.57,2812.53
694,Leptotila jamaicensis,Columbidae,Columbiformes,AVIBASE-401B5C83,5,0,0,5,4,21.8,11.5,3.0,3.9,28.8,147.0,44.5,99.2,31.0,95.6,165.0,Dunning,NA,NO,NA,NA,Shrubland,1,1,Herbivore,Granivore,Terrestrial,12.49,21.61,19.35,-87.45,92155.91
703,Leptotila megalura,Columbidae,Columbiformes,AVIBASE-BAB92B27,8,2,4,2,4,20.2,10.2,3.2,4.4,30.8,150.2,39.2,111.0,26.1,112.6,218.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,-30.03,-14.42,-21.62,-65.27,147285.79
697,Leptotila ochraceiventris,Columbidae,Columbiformes,AVIBASE-597CE4E8,4,2,2,0,4,21.2,9.2,3.1,3.8,31.3,132.4,33.5,99.0,25.3,96.2,146.0,Dunning,NA,NO,NA,NA,Forest,1,2,Herbivore,Granivore,Generalist,-5.94,-1.56,-3.76,-79.91,6446.42
702,Leptotila pallida,Columbidae,Columbiformes,AVIBASE-D4CDB0EA,4,2,1,1,4,20.4,10.9,3.4,3.9,30.3,136.2,34.1,102.1,25.1,93.0,122.8,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,-4.06,5.80,0.80,-78.81,117295.45
698,Leptotila plumbeiceps,Columbidae,Columbiformes,AVIBASE-41E03340,6,2,4,0,4,20.6,6.5,2.9,4.2,31.0,141.0,37.1,101.6,26.8,98.2,170.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,2.56,23.46,16.68,-90.32,360918.88
700,Leptotila rufaxilla,Columbidae,Columbiformes,AVIBASE-684B9362,21,6,8,7,4,20.3,10.4,3.4,4.5,27.3,135.5,32.9,101.6,24.5,94.3,157.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Granivore,Terrestrial,-33.53,10.84,-8.97,-56.85,11668214.68
693,Leptotila verreauxi,Columbidae,Columbiformes,AVIBASE-6141E8C8,38,14,12,12,8,19.5,10.0,3.6,4.0,27.7,136.7,29.8,104.6,22.1,102.1,146.9,Dunning,NA,NO,NA,NA,Shrubland,1,1,Herbivore,Granivore,Terrestrial,-36.95,30.78,-7.54,-61.63,15542979.81
701,Leptotila wellsi,Columbidae,Columbiformes,AVIBASE-4A922076,1,0,1,0,1,21.2,9.6,3.2,4.9,32.2,138.0,21.6,116.4,15.7,91.0,200.0,Dunning,NA,NO,NA,NA,Woodland,1,1,Herbivore,Granivore,Terrestrial,12.00,12.12,12.05,-61.71,15.36
692,Leptotrygon veraguensis,Columbidae,Columbiformes,AVIBASE-BB65071B,5,2,2,1,4,20.1,6.8,2.6,3.9,35.4,132.2,35.7,95.8,27.1,69.8,155.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,0.84,11.01,6.57,-78.08,127743.93
759,Leucosarcia melanoleuca,Columbidae,Columbiformes,AVIBASE-E91C72D9,4,1,3,0,4,28.8,12.3,4.6,4.6,41.2,197.0,63.7,133.3,32.3,133.0,428.6,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Omnivore,Terrestrial,-39.14,-20.06,-30.44,150.08,503204.11
954,Lopholaimus antarcticus,Columbidae,Columbiformes,AVIBASE-B6416BD3,5,0,0,5,4,25.8,13.3,5.8,8.9,30.8,277.6,106.1,172.7,38.0,193.4,496.4,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-37.99,-14.83,-27.30,150.43,317014.63
652,Macropygia amboinensis,Columbidae,Columbiformes,AVIBASE-FD516092,7,2,3,2,5,21.0,9.1,3.5,4.8,22.8,171.9,55.2,116.6,32.2,190.6,237.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-11.66,4.55,-4.61,137.47,1059941.30
647,Macropygia emiliana,Columbidae,Columbiformes,AVIBASE-7A741523,5,1,4,0,4,22.2,10.0,3.7,4.9,22.8,171.0,55.4,115.8,32.4,154.5,161.0,Updated_literature,Dunning (2021),NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-9.11,6.57,-1.69,111.12,580323.25
649,Macropygia macassariensis,Columbidae,Columbiformes,AVIBASE-EDF138FC,0,0,0,0,0,21.4,9.6,3.7,4.8,24.5,175.8,56.9,115.4,33.1,189.0,237.0,Inferred,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Macropygia phasianella,Forest,1,1,Herbivore,Frugivore,Insessorial,-7.42,-5.49,-6.37,120.62,909.04
656,Macropygia mackinlayi,Columbidae,Columbiformes,AVIBASE-A497EDE2,5,2,3,0,4,16.7,6.8,2.8,4.0,21.4,148.6,47.4,101.6,31.8,156.5,85.9,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-20.25,-1.32,-9.67,159.75,54491.47
650,Macropygia magna,Columbidae,Columbiformes,AVIBASE-E3CD28EA,4,1,3,0,4,22.0,10.8,4.2,5.8,24.7,187.2,59.7,127.6,31.8,186.9,237.0,Inferred,NA,YES,Body Mass,Macropygia phasianella,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.37,-7.49,-9.05,125.25,34319.88
655,Macropygia nigrirostris,Columbidae,Columbiformes,AVIBASE-8BA75FED,4,2,2,0,4,18.6,8.1,3.2,5.3,19.7,146.5,53.2,93.3,36.3,137.2,90.1,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-10.73,-0.34,-4.79,141.58,646983.57
653,Macropygia phasianella,Columbidae,Columbiformes,AVIBASE-1CFF2F57,4,2,1,1,3,21.4,9.6,3.7,4.8,24.5,175.8,56.9,115.4,33.1,189.0,237.0,Dunning,NA,NO,NA,NA,NA,1,2,Herbivore,Omnivore,Insessorial,-37.81,-9.94,-24.55,149.09,582030.42
654,Macropygia ruficeps,Columbidae,Columbiformes,AVIBASE-890C54C3,5,2,3,0,4,16.7,7.0,2.8,3.6,18.8,141.0,51.1,88.4,36.6,150.6,81.9,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Generalist,-10.37,23.61,5.92,107.72,1783125.51
646,Macropygia rufipennis,Columbidae,Columbiformes,AVIBASE-DC1A2059,5,2,3,0,4,21.1,9.8,3.8,5.0,24.2,191.0,72.2,119.3,37.7,182.7,256.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,6.75,13.68,11.22,92.96,7597.74
648,Macropygia tenuirostris,Columbidae,Columbiformes,AVIBASE-5F4401F8,5,3,2,0,4,20.5,9.2,3.6,4.8,21.6,176.2,58.6,117.6,33.2,187.2,177.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,4.61,22.09,11.79,122.86,282345.03
651,Macropygia timorlaoensis,Columbidae,Columbiformes,AVIBASE-DA25D77D,0,0,0,0,0,21.4,9.6,3.7,4.8,24.5,175.8,56.9,115.4,33.1,189.0,237.0,Inferred,NA,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass,Macropygia phasianella,Forest,1,1,Herbivore,Frugivore,Insessorial,-8.35,-7.10,-7.62,131.40,3794.37
645,Macropygia unchall,Columbidae,Columbiformes,AVIBASE-C0181886,5,3,2,0,4,22.1,9.5,3.3,4.2,21.9,174.8,61.9,110.3,35.9,166.4,168.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Omnivore,Insessorial,-8.96,32.88,22.97,103.40,2550794.48
881,Megaloprepia formosa,Columbidae,Columbiformes,AVIBASE-58064CF2,6,2,2,2,5,18.2,8.2,4.3,4.4,21.5,141.3,43.2,98.2,30.6,142.2,118.5,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-1.70,2.23,0.50,127.94,21523.73
880,Megaloprepia magnifica,Columbidae,Columbiformes,AVIBASE-1A279952,5,1,3,1,4,26.2,11.4,4.7,5.4,24.3,163.5,46.9,116.6,28.7,137.4,185.4,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-34.15,-0.01,-10.36,143.31,979740.41
