Sequence,Species1,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
720,Columbina squammata,Columbidae,Columbiformes,AVIBASE-26085D75,10,1,8,1,4,15.7,9.3,2.8,3.6,15.8,95.0,19.8,74.5,20.9,90.7,52.9,Dunning,NA,NO,NA,NA,Human Modified,3,1,Herbivore,Granivore,Terrestrial,-27.98,12.46,-11.81,-50.40,4814670.86
724,Columbina talpacoti,Columbidae,Columbiformes,AVIBASE-ADD11A5F,66,15,32,19,4,14.2,8.3,3.1,3.6,16.4,86.8,17.7,70.1,19.9,65.8,46.0,Dunning,NA,NO,NA,NA,Human Modified,3,2,Herbivore,Granivore,Terrestrial,-35.43,28.04,-7.62,-60.71,14617238.71
949,Cryptophaps poecilorrhoa,Columbidae,Columbiformes,AVIBASE-86420547,3,1,2,0,3,26.3,11.2,6.4,5.7,35.1,231.3,65.6,165.7,28.4,192.3,467.0,EltonTraits_Model,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-5.49,1.71,-1.57,121.11,97468.24
788,Didunculus strigirostris,Columbidae,Columbiformes,AVIBASE-987DE55E,4,1,1,2,4,22.6,17.1,10.2,15.2,38.7,188.0,56.5,131.5,30.1,99.5,400.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-14.02,-13.48,-13.72,-172.22,1235.53
897,Drepanoptila holosericea,Columbidae,Columbiformes,AVIBASE-91E82CA2,5,2,3,0,4,17.8,8.0,3.7,4.4,26.7,148.0,29.8,115.8,20.5,79.2,215.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-22.68,-20.09,-21.34,165.50,16533.09
842,Ducula aenea,Columbidae,Columbiformes,AVIBASE-D1E845C5,15,7,8,0,15,30.4,16.3,8.1,6.9,30.2,240.0,74.6,165.4,31.1,143.2,545.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,-10.32,28.15,12.16,102.13,5136924.07
849,Ducula aurorae,Columbidae,Columbiformes,AVIBASE-ED21D49D,4,2,2,0,4,27.0,14.7,6.6,6.3,31.1,234.0,73.2,160.8,31.3,145.5,507.2,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-15.87,-15.80,-15.84,-148.26,25.10
873,Ducula badia,Columbidae,Columbiformes,AVIBASE-16E10A30,9,4,4,1,8,27.4,13.8,6.7,5.8,29.3,232.2,67.2,165.2,28.9,170.8,486.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-6.96,29.19,11.81,103.60,2976050.68
865,Ducula bakeri,Columbidae,Columbiformes,AVIBASE-E5C4225B,3,1,1,1,3,23.5,15.2,5.8,5.0,31.1,205.7,54.3,151.4,26.4,140.7,394.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-16.38,-13.48,-15.30,167.51,4126.49
855,Ducula basilica,Columbidae,Columbiformes,AVIBASE-8FCE398B,4,1,1,2,4,25.7,14.4,7.4,6.1,30.4,204.2,58.8,145.5,28.8,119.2,507.2,EltonTraits_GenAvg,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-0.92,2.65,0.87,128.00,22924.77
876,Ducula bicolor,Columbidae,Columbiformes,AVIBASE-61DC1C21,8,4,4,0,7,27.4,13.5,6.2,6.3,29.5,226.2,82.8,143.5,36.7,128.3,440.0,Dunning,NA,NO,NA,NA,Forest,2,2,Herbivore,Frugivore,Insessorial,-8.78,20.51,2.73,114.93,626352.20
864,Ducula brenchleyi,Columbidae,Columbiformes,AVIBASE-C7FDE047,5,0,2,3,4,28.9,13.8,6.1,5.5,29.9,216.2,80.3,135.9,37.2,112.6,380.0,Dunning,NA,NO,NA,NA,Forest,2,1,Herbivore,Frugivore,Insessorial,-10.83,-8.32,-9.64,160.81,10822.88
841,Ducula carola,Columbidae,Columbiformes,AVIBASE-0A96A8F5,5,1,2,2,4,25.1,12.9,6.0,5.6,25.9,209.2,76.0,132.2,36.5,120.2,289.0,Dunning,NA,NO,NA,NA,Forest,1,1,Herbivore,Frugivore,Insessorial,5.56,18.65,12.01,122.92,222701.31
